Date,Time,Activity,User
2025-05-04,00:08:05,User pex login,pex
2025-05-04,00:08:14,Viewed personalized recommendations,pex
2025-05-04,00:08:58,Admin admin login,admin
2025-05-04,00:10:17,Admin admin login,admin
2025-05-04,00:11:37,Admin admin login,admin
2025-05-04,00:12:19,Admin admin login,admin
2025-05-04,00:12:31,Add kuy,Admin
2025-05-04,00:13:15,Edit kuy,Admin
2025-05-04,00:13:15,Edit kuy,Admin
2025-05-04,00:14:35,Delete kuy,Admin
2025-05-04,00:14:35,Delete kuy,Admin
2025-05-04,00:19:44,User pex login,pex
2025-05-04,00:19:47,Viewed personalized recommendations,pex
2025-05-04,00:25:02,Admin admin login,admin
2025-05-04,00:25:16,Add ieie1,Admin
2025-05-04,00:25:25,Add ieie2,Admin
2025-05-04,00:32:05,Admin admin login,admin
2025-05-04,00:34:29,Admin admin login,admin
2025-05-04,00:35:50,Admin admin login,admin
2025-05-04,00:42:55,Admin admin login,admin
2025-05-04,00:43:10,Add relation ieie1 <-> ieie2,Admin
2025-05-04,00:43:44,Add relation ieie1 <-> ieie2,Admin
2025-05-04,00:44:39,Admin admin login,admin
2025-05-04,00:44:44,Add relation ieie1 <-> ieie2,Admin
2025-05-04,00:50:19,Admin admin login,admin
2025-05-04,00:50:26,Add relation ieie1 <-> ieie2,Admin
2025-05-04,00:52:32,Admin admin login,admin
2025-05-04,00:53:06,Add relation ieie1 <-> ieie2,Admin
2025-05-04,00:53:26,Add relation ieie1 <-> ieie2,Admin
2025-05-04,00:53:38,Add relation ieie1 <-> ieie2,Admin
2025-05-04,00:54:41,Admin admin login,admin
2025-05-04,00:54:49,Add relation ieie1 <-> ieie2,Admin
2025-05-04,01:00:05,Admin 1 login,1
2025-05-04,01:00:15,Add relation ieie1 <-> ieie2,Admin
2025-05-04,01:01:14,Add relation ieie1 <-> ieie2,Admin
2025-05-04,01:02:42,Relation added: TheWitcher3:WildHunt -> Cyberpunk2077,Admin
2025-05-04,01:02:42,Relation added: Cyberpunk2077 -> TheWitcher3:WildHunt,Admin
2025-05-04,01:02:42,Relation added: EldenRing -> Demon'sSouls,Admin
2025-05-04,01:02:42,Relation added: Demon'sSouls -> EldenRing,Admin
2025-05-04,01:02:42,Relation added: GrandTheftAutoV -> RedDeadRedemption2,Admin
2025-05-04,01:02:42,Relation added: RedDeadRedemption2 -> GrandTheftAutoV,Admin
2025-05-04,01:02:42,Relation added: CallofDuty:ModernWarfareII -> Overwatch2,Admin
2025-05-04,01:02:42,Relation added: Overwatch2 -> CallofDuty:ModernWarfareII,Admin
2025-05-04,01:02:42,Relation added: FIFA23 -> NBA2K23,Admin
2025-05-04,01:02:42,Relation added: NBA2K23 -> FIFA23,Admin
2025-05-04,01:02:42,Relation added: FIFA23 -> MaddenNFL23,Admin
2025-05-04,01:02:42,Relation added: MaddenNFL23 -> FIFA23,Admin
2025-05-04,01:02:42,Relation added: NBA2K23 -> MaddenNFL23,Admin
2025-05-04,01:02:42,Relation added: MaddenNFL23 -> NBA2K23,Admin
2025-05-04,01:02:42,Relation added: Fortnite -> PUBG,Admin
2025-05-04,01:02:42,Relation added: PUBG -> Fortnite,Admin
2025-05-04,01:02:42,Relation added: Valorant -> Counter-Strike2,Admin
2025-05-04,01:02:42,Relation added: Counter-Strike2 -> Valorant,Admin
2025-05-04,01:02:42,Relation added: LeagueofLegends -> Dota2,Admin
2025-05-04,01:02:42,Relation added: Dota2 -> LeagueofLegends,Admin
2025-05-04,01:02:42,Relation added: Minecraft -> Roblox,Admin
